"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"true","false","https://pbs.twimg.com/profile_banners/21207857/1730828115","Wed Feb 18 15:50:34 +0000 2009","🇺🇸 Ultra MAGA 🇺🇸
Pro Forecast Publisher.
Frmr SVP SI Fantasy/Betting
Indy Southside 
#nyjets #btc",,,,,,,,,,,,,,,,,,,,,,,,,,"0","29413","12996","6152","true","21207857","true","false","false","","5952","Scott Atkins","1119260291995402240","false","https://pbs.twimg.com/profile_images/1846041361176293376/xUZO8LEd_normal.jpg","","38884","https://twitter.com/ScottFantasy","user","https://x.com/ScottFantasy","ScottFantasy","@danifinkelstein @1put3295 @Lala467Lala @nancymck1211 @JoeNBC actually no, Libs want Russia investigation to find evidence. Trump wants same","Tue Mar 14 23:59:21 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/16023480/1731016432","Thu Aug 28 05:02:40 +0000 2008","🌊 🪷 trying to stay positive. science & politics enthusiast. bookworm. words matter. “like” might just mean 🤨",,,,,,,,,,,,,,,,,,,,,,,,,,"0","84742","485","1773","true","16023480","false","false","false","Bay Area California, USA","81","sunshine ™","1105844653700472833","false","https://pbs.twimg.com/profile_images/1854388337500721152/OuH0FoC6_normal.jpg","","4869","https://twitter.com/choose2Bhappy","user","https://x.com/choose2Bhappy","choose2Bhappy","Never-Trump Republicans join call for Russia investigation - Chicago Tribune https://t.co/adbSTMsMNU","Tue Mar 14 23:57:32 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/2319270600/1715759034","Thu Jan 30 17:24:53 +0000 2014","🍄 hunter- she/her- STEMinist 
I've decided that I should be on the pardon list, if that's still in the works.

#alaskatwitter #akleg #ancgov",,,,,,,,,,,,,,,,,,,,,,,,,,"0","97333","707","1502","true","2319270600","false","false","false","Alaska ","1435","Two Minutes Hate","883151384077451264","false","https://pbs.twimg.com/profile_images/1725791103394451456/87vUmvXA_normal.jpg","","30874","https://twitter.com/MyDemonVagina","user","https://x.com/MyDemonVagina","MyDemonVagina","@maddow has been at the forefront of the Russia investigation. And the entire circus side show that is the Trump admin. #ReleaseYourTaxes https://t.co/OgeNrNdFsa","Tue Mar 14 23:55:17 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/620424189/1707247362","Wed Jun 27 21:03:59 +0000 2012","Profane RN, DAR, Bubbe, Mommy, Wife of LEO, Sister, Auntie,Lesbian, Human. Never Again, Am Yisreal Chai",,,,,,,,,,,,,,,,,,,,,,,,,,"0","142771","5313","5193","true","620424189","false","false","false","Colorado, USA","896","Integrity Matters","1660846031599222788","false","https://pbs.twimg.com/profile_images/1754947475058626560/MnwmFaIW_normal.jpg","","23176","https://twitter.com/IntegrityMattrs","user","https://x.com/IntegrityMattrs","IntegrityMattrs","@washingtonpost Stupid article. Threatening.. Really? Please do more investigation on the Trump/Russia, no taxes etc. GOP are complicit. https://t.co/W3ZLNVHwDg","Tue Mar 14 23:31:06 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/763938464316272640/1615461331","Fri Aug 12 03:21:37 +0000 2016","Government & Politics Political News Journalists #hesnotfittorepresentthisgreatcountry @SecureDemocracy #protectmueller #TWWD #MoscowMitch #GreenNewDeal",,,,,,,,,,,,,,,,,,,,,,,,,,"0","1706","63","671","true","763938464316272640","false","false","false","","438","Andrew","1065111307681234944","false","https://pbs.twimg.com/profile_images/838080664008339466/ZHxKo_ID_normal.jpg","","4328","https://twitter.com/cernunnos1313","user","https://x.com/cernunnos1313","cernunnos1313","@cnnbrk Who cares??? Back to real journalism like the Trump Russia investigation.","Tue Mar 14 23:29:33 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/2616267677/1497929915","Tue Jun 17 05:00:40 +0000 2014","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","14545","318","502","true","2616267677","false","false","false","","143","StevenF",,"false","https://pbs.twimg.com/profile_images/1198659981530284032/NgMCjr5M_normal.jpg","","20605","https://twitter.com/Fernieflores","user","https://x.com/Fernieflores","Fernieflores","@alfranken where are we with investigation on trump and Russia? And sessions lying under oath?","Tue Mar 14 23:25:08 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/2616267677/1497929915","Tue Jun 17 05:00:40 +0000 2014","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","14545","318","502","true","2616267677","false","false","false","","143","StevenF",,"false","https://pbs.twimg.com/profile_images/1198659981530284032/NgMCjr5M_normal.jpg","","20605","https://twitter.com/Fernieflores","user","https://x.com/Fernieflores","Fernieflores","@LindseyGrahamSC @SenJohnMcCain @jasoninthehouse where are we at with the investigation of trump and Russia? How about sessions lying?","Tue Mar 14 23:23:29 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/3497538854/1694015484","Tue Sep 08 22:19:46 +0000 2015","Socio-Economist; Navy Vet – SS Weapons Department, R&D/T&E Contractor, Labor/Education Researcher, Global Systems Theorist, Prem Tech H.I.F.T., GSA, ABA",,,,,,,,,,,,,,,,,,,,,,,,,,"0","26192","1010","322","true","3497538854","false","false","false","California, USA","10108","Gregory Morales","832042520448163841","false","https://pbs.twimg.com/profile_images/822674401522921472/MDRBLuKM_normal.jpg","","93304","https://twitter.com/Morales4SDMayor","user","https://x.com/Morales4SDMayor","Morales4SDMayor","Russia &amp; Trump  #RussiaGate ?
RussiaGate includes #HRC &amp; power elite of both parties
attempting to direct investigation to one party?
silly https://t.co/mWAGSIH2EZ","Tue Mar 14 23:15:42 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/3166653756/1722115513","Tue Apr 21 12:46:39 +0000 2015","#YesWeKam #TakeBackFL",,,,,,,,,,,,,,,,,,,,,,,,,,"0","13417","20555","21010","true","3166653756","false","false","false","Florida, USA","469","Take Back Florida","1822331822073586056","false","https://pbs.twimg.com/profile_images/1816089684101021696/K2j6NFOK_normal.jpg","","17591","https://twitter.com/TakeBackFL","user","https://x.com/TakeBackFL","TakeBackFL","Monica Crowley is latest shoe to fall, who's next? Call Sen. Burr to demand an independent investigation into Russia and Trump  #RussiaGate https://t.co/WjSdNcw5lj","Tue Mar 14 23:13:46 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/258252390/1348027738","Sun Feb 27 08:41:12 +0000 2011","An unapologetic LIBERAL... duh! (Sorry about that =_=)",,,,,,,,,,,,,,,,,,,,,"idonthaveawebsite.com","http://www.idonthaveawebsite.com/","0","22","http://t.co/CfMxgZeI2L","0","1248","53","241","false","258252390","false","false","false","the here & now","434","den ru mer",,"false","https://pbs.twimg.com/profile_images/906792215053078528/qw7dxttX_normal.jpg","","15754","https://twitter.com/denrumer","user","https://x.com/denrumer","denrumer","Sign: Trump's wiretap allegation means we need a full-blown investigation of his Russia ties https://t.co/jCbpCDiH7K https://t.co/D3d6uXuRKY","Tue Mar 14 23:01:57 +0000 2017"
