"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/876695975368081408/1512968927","Mon Jun 19 06:59:43 +0000 2017","It's my job to spit back at Trump supporters like Trump supporters so good people don't have to. #Resist #TheResistance #Rebel #ByForceIfNecessary",,,,,,,,,,,"0","5518","78","371","false","876695975368081408","false","false","false","Your Butthole","65","Mermaid Tavern","947944590408945664","false","https://pbs.twimg.com/profile_images/941044477724000258/inWz93dU_normal.jpg","","4850","https://twitter.com/Mermaid_Tav","user","https://x.com/Mermaid_Tav","Mermaid_Tav","@56_Jeff @FoxNews @MichaelRCaputo @realDonaldTrump @DonaldJTrumpJr Trump said it was because the Russia investigation, sorry he ruined the whole Hillary excuse.","Mon Jul 17 23:50:59 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/855580944140468224/1494627697","Sat Apr 22 00:36:07 +0000 2017","",,,,,,,,,,,"0","1857","70","273","false","855580944140468224","false","false","false","","73","Lynn Kiley",,"false","https://pbs.twimg.com/profile_images/863160751690850304/sRHmPKxy_normal.jpg","","2719","https://twitter.com/LynnKiley3","user","https://x.com/LynnKiley3","LynnKiley3","WATCH: Fox Judicial Analyst And Trump Favorite Calls For Criminal Investigation Of Trump Jr’s Collusion With Russia https://t.co/D3qAUsoNQS","Mon Jul 17 23:47:31 +0000 2017"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/2473783645/1729609208","Fri May 02 10:05:29 +0000 2014","Migrating to BlueSky (I'm only here to contact advertisers to tell them I'm boycotting them)

Trans and Gender Fluid Rights are Human Rights
🌈🏳️‍⚧️ they them",,,,,,,,,,,"0","54677","2599","4940","true","2473783645","false","false","false","Atlanta burbs","20964","Keep Calm and Stay Fluid 💗","1860617258055193028","false","https://pbs.twimg.com/profile_images/1848741126028644352/1NYK1H7I_normal.jpg","","82756","https://twitter.com/FrequentTweets","user","https://x.com/FrequentTweets","FrequentTweets",".@ErinBurnett @CillizzaCNN 
Political Microtargeting and the Russia Investigation https://t.co/2zLHGSWZns via @just_security
#SteveBannon","Mon Jul 17 23:26:31 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/43655359/1701496065","Sun May 31 06:50:57 +0000 2009","cofounder of Madelife,AIM House LLC and CU CRC...Daniel is a social entrepreneur Loves #Phish, Cubs,CU Buffs, Nuggets wife and 4 amazing kids",,,,,,"dannyconroy.com","http://www.dannyconroy.com","0","23","https://t.co/xWKw0HlEdd","0","1585","391","327","true","43655359","false","false","false","Boulder, Colorado","120","Danny Conroy",,"false","https://pbs.twimg.com/profile_images/1730825836964569088/XBp_Jnzg_normal.jpg","","1512","https://twitter.com/realdannyconroy","user","https://x.com/realdannyconroy","realdannyconroy","Making America Great! New polling confirms Trump's slide as healthcare, Russia investigation drag down his standing https://t.co/5n0aG1To0z","Mon Jul 17 23:16:35 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/192452385/1433298601","Sun Sep 19 05:24:06 +0000 2010","Barely Educated Monkey. Anti-Police. I Don't Worship Your Version Of Your God.",,,,,,,,,,,"0","4845","2873","4141","true","192452385","false","false","false","The World","5249","S.y.d.",,"false","https://pbs.twimg.com/profile_images/605923217388093441/g2OGc3j9_normal.jpg","","55381","https://twitter.com/syd3825","user","https://x.com/syd3825","syd3825","Former US prosecutor on Trump-Russia investigation: ‘People will be going to jail’ https://t.co/PHUtQUzrex via @YahooNews","Mon Jul 17 23:15:25 +0000 2017"
,,,,,,,,,,,"false","true",,"Sat Jun 11 22:16:06 +0000 2011","Proud lifelong #liberal #feminist #humanist #LGBTQ supporter. Member of #theresistance. Also #Spoonie, foodie, pop culture maven.",,,,,,,,,,,"0","354033","3271","7495","true","315455150","false","false","false","NE Ohio","81","Mindy Benson",,"false","https://pbs.twimg.com/profile_images/823683975130599425/NtAsEHzN_normal.jpg","","317661","https://twitter.com/MindyBe","user","https://x.com/MindyBe","MindyBe","Former judge says Trump Jr.'s Russia meeting merits 'criminal investigation' and may have been a felony https://t.co/v3wQEK0YDx","Mon Jul 17 23:07:56 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/541848832/1658020712","Sat Mar 31 17:54:48 +0000 2012","",,,,,,,,,,,"0","50724","211","157","true","541848832","false","false","false","AZ","2477","ARIZONA is BLUE",,"false","https://pbs.twimg.com/profile_images/1591601384645832704/_PabnQK6_normal.jpg","","42841","https://twitter.com/rayzpitbulls","user","https://x.com/rayzpitbulls","rayzpitbulls","It's imperative that we have a fully independent Russia investigation - someone Trump can't fire. Sign the petition https://t.co/FHZjrFfWHM","Mon Jul 17 23:05:11 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/541848832/1658020712","Sat Mar 31 17:54:48 +0000 2012","",,,,,,,,,,,"0","50724","211","157","true","541848832","false","false","false","AZ","2477","ARIZONA is BLUE",,"false","https://pbs.twimg.com/profile_images/1591601384645832704/_PabnQK6_normal.jpg","","42841","https://twitter.com/rayzpitbulls","user","https://x.com/rayzpitbulls","rayzpitbulls","It's imperative that we have a fully independent Russia investigation - someone Trump can't fire","Mon Jul 17 23:04:36 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/520771211/1645833585","Sat Mar 10 22:00:39 +0000 2012","",,,,,,,,,,,"0","235835","592","1029","true","520771211","false","false","false","California, USA","368","d kemp 🇺🇦 🌻",,"false","https://pbs.twimg.com/profile_images/1497237876110544897/NRU9jOGS_normal.jpg","","258806","https://twitter.com/deborahkemp3","user","https://x.com/deborahkemp3","deborahkemp3","New polling confirms Trump's slide as healthcare, Russia investigation drag down his standing https://t.co/V0ajZPH5bm","Mon Jul 17 22:30:16 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/19543182/1614546200","Mon Jan 26 16:45:14 +0000 2009","Follow for the latest politics videos...",,,,,,"realclearpolitics.com/video","http://realclearpolitics.com/video","0","23","https://t.co/H3n1K4gN6R","0","12","12980","885","true","19543182","true","false","false","Everywhere","3558","RCP Video",,"false","https://pbs.twimg.com/profile_images/1366132387466338306/9YXbkDUD_normal.jpg","","74866","https://twitter.com/rcpvideo","user","https://x.com/rcpvideo","rcpvideo","Dershowitz on Trump/Russia Investigation: Stop Accusing People Of Crimes When There Is No Evidence Of Crimes 

https://t.co/HdfouVbgAC https://t.co/VTUzMNv1kI","Mon Jul 17 22:30:03 +0000 2017"
