"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1227469865457537030/1581487077","Wed Feb 12 05:50:03 +0000 2020","Data intelligence. High-frequency polling. Big data analytics.",,,,,,,,,,,,,,,,"atlasintel.org","http://www.atlasintel.org","0","23","https://t.co/G4JFHjyiz9","0","975","62386","300","false","1227469865457537030","true","false","false","","249","AtlasIntel","1854967118564868522","false","https://pbs.twimg.com/profile_images/1353737548565270529/IDOuifuX_normal.jpg","","804","https://twitter.com/atlas_intel","user","https://x.com/atlas_intel","atlas_intel",,"Not even one mention of AtlasIntel performance in the 1st 538 assessment of polling accuracy for the 2024 Presidential Election. We express utmost concern regarding the impartiality and credibility of 538 under the helm of @gelliottmorris.","Fri Nov 08 22:07:34 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1790419462446886912/1716328003","Tue May 14 16:30:59 +0000 2024","America First🗽 | Trump 2024🗳️ | Patriot 🇺🇸 | #MAGA | Political Commentator | #Travel✈️🔎🌎",,,,,,,,,,,,,,,,,,,,,"0","13247","12471","7431","false","1790419462446886912","true","false","false","Texas, USA","1345","Jesse Morgan","1857813924579586463","false","https://pbs.twimg.com/profile_images/1822193495253143552/Seu-nAni_normal.jpg","","3096","https://twitter.com/Jesse_Morgan_","user","https://x.com/Jesse_Morgan_","Jesse_Morgan_",,"BREAKING: Supporters of Kamala Harris are now calling for a recount of the 2024 Presidential election, asserting that nothing is ""official yet.""

What’s your reaction? https://t.co/4rZb4tVgFF","Fri Nov 08 21:47:21 +0000 2024"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1498697025994432518/1681476567","Tue Mar 01 16:30:14 +0000 2022","Mens physique bodybuilder, Political Commentator.",,,,,,,,,,,,,,,,,,,,,"0","13272","213102","3214","true","1498697025994432518","true","false","false","United States","8049","Ian Jaeger","1863221771077378250","false","https://pbs.twimg.com/profile_images/1602055610903691264/owmk2WyJ_normal.jpg","","28395","https://twitter.com/IanJaeger29","user","https://x.com/IanJaeger29","IanJaeger29",,"BREAKING: Kamala Harris supporters are now demanding a recount of the 2024 Presidential election, saying that not is “official yet.” 

 https://t.co/uOf23YJVHP","Fri Nov 08 21:13:17 +0000 2024"
"https://pbs.twimg.com/profile_images/1728831833456988161/4gjnPd4j_bigger.jpg","sunfluencer","https://twitter.com/sunfluencer","DeepLink","Badge","BusinessLabel","true","false","https://pbs.twimg.com/profile_banners/1638262165269368846/1730324261","Tue Mar 21 19:32:01 +0000 2023","| Purple Heart Recipient | Iraq & Afghanistan Veteran | Former U.S. Army NCO | 🎙️Co-host of the Cowboys and Indians Podcast with @lanativepatriot",,,,,,,,,,,,,,,,,,,,,"0","34584","326808","24597","true","1638262165269368846","true","false","false","Texas, USA","5643","Steve 🇺🇸","1863266447457415386","false","https://pbs.twimg.com/profile_images/1862888300328996864/jyU7Ej1y_normal.jpg","","29023","https://twitter.com/SteveLovesAmmo","user","https://x.com/SteveLovesAmmo","SteveLovesAmmo",,"A quick recap of the last 5 Presidential elections:

2008: “Free and Fair Election.”

2012: “Free and Fair Election.”

2016: “Russian Interference.”

2020: “Most secure election in history!”

2024: “Where are all the Democrat votes?”

This is so weird. 🧐","Fri Nov 08 21:05:28 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/15533969/1730875941","Tue Jul 22 17:28:42 +0000 2008","Writer/Coder/Skeptic/UFO Analyst

mick@mickwest.com",,,,,,,,,,,,,,,,"metabunk.org","http://metabunk.org","0","23","https://t.co/VV5cfXzfN4","0","4122","40222","235","false","15533969","true","false","false","Sacramento, California","11753","Mick West",,"false","https://pbs.twimg.com/profile_images/1854054193407156224/YwDcskvI_normal.jpg","","67192","https://twitter.com/MickWest","user","https://x.com/MickWest","MickWest",,"A graph comparing the Presidential election results from 2024 to 2020 makes it look like the 2020 results are anomalous, indicating fraud. But if we account for the votes that have not yet been counted, then we get the real results. Similar turnout, but 5 million people switched from Biden/Harris to Trump.  Trump won in 2024. Biden won in 2020. The system works.","Fri Nov 08 21:02:27 +0000 2024"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/132512167/1592079674","Tue Apr 13 13:00:02 +0000 2010","Tyrants are my enemies | Si vis pacem para bellum |🇩🇪🇪🇺| Das Böse triumphiert allein dadurch, dass gute Menschen nichts unternehmen |Military & History",,,,,,,,,,,,,,,,,,,,,"0","3705","386098","828","true","132512167","true","false","false","Germany","6738","(((Tendar)))","1854038365596708981","false","https://pbs.twimg.com/profile_images/1312810318951837696/SCyllslq_normal.jpg","","41869","https://twitter.com/Tendar","user","https://x.com/Tendar","Tendar",,"According to Newsweek, Ukraine's President Zelenskyy, US President-elect Trump and Elon Musk joint in on a phone call. On the call, Zelenskyy congratulated Trump on his win of the 2024 presidential election.

""According to one of the sources close to the matter, Zelenskyy saw the call as a positive indication about aid to come because it came so soon after Trump was proclaimed the winner of the election.""

""The president-elect stated that he will support Ukraine but did not provide any specifics. Zelenskyy thought the discussion went well and did not add to his concerns about Trump's triumph, per sources familiar with the call.""","Fri Nov 08 20:36:07 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/319414278/1717742504","Sat Jun 18 02:34:29 +0000 2011","CEO @atlas_intel",,,,,,,,,,,,,,,,"atlasintel.org","http://www.atlasintel.org","0","23","https://t.co/zZuDnqYEHO","0","6040","33438","841","false","319414278","true","false","false","","560","Andrei Roman","1854976772309451222","false","https://pbs.twimg.com/profile_images/1812593522333102080/u2UZausG_normal.jpg","","4883","https://twitter.com/andrei__roman","user","https://x.com/andrei__roman","andrei__roman",,"I would like to congratulate @Mark_R_Mitchell for Rasmussen's excellent performance in the 2024 Presidential Election Cycle. A job well done!","Fri Nov 08 19:37:56 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1227469865457537030/1581487077","Wed Feb 12 05:50:03 +0000 2020","Data intelligence. High-frequency polling. Big data analytics.",,,,,,,,,,,,,,,,"atlasintel.org","http://www.atlasintel.org","0","23","https://t.co/G4JFHjyiz9","0","975","62386","300","false","1227469865457537030","true","false","false","","249","AtlasIntel","1854967118564868522","false","https://pbs.twimg.com/profile_images/1353737548565270529/IDOuifuX_normal.jpg","","804","https://twitter.com/atlas_intel","user","https://x.com/atlas_intel","atlas_intel",,"POLLSTER ACCURACY 
2024 US PRESIDENTIAL ELECTION 
Swing States

AtlasIntel and Rasmussen were the most accurate pollsters in key swing states of the 2024 Presidential Election. AtlasIntel correctly indicated the winner of the race in every single swing state. https://t.co/QJWTGed1VY","Fri Nov 08 19:23:10 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1227469865457537030/1581487077","Wed Feb 12 05:50:03 +0000 2020","Data intelligence. High-frequency polling. Big data analytics.",,,,,,,,,,,,,,,,"atlasintel.org","http://www.atlasintel.org","0","23","https://t.co/G4JFHjyiz9","0","975","62386","300","false","1227469865457537030","true","false","false","","249","AtlasIntel","1854967118564868522","false","https://pbs.twimg.com/profile_images/1353737548565270529/IDOuifuX_normal.jpg","","804","https://twitter.com/atlas_intel","user","https://x.com/atlas_intel","atlas_intel",,"POLLSTER ACCURACY
2024 US PRESIDENTIAL ELECTION
National Popular Vote

AtlasIntel was the most accurate pollster of the US Presidential Election 2nd time in a row, both at the national level and in key swing states.

Please note: margins may change with the final vote count, but the ranking is unlikely to change significantly. Once the data is final, an updated table will be posted.","Fri Nov 08 19:19:59 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/361289499/1731087475","Wed Aug 24 15:14:54 +0000 2011","The Most Trusted Voice In #Bitcoin 🟠 https://t.co/iY43rZ4c0Q • Join us at Bitcoin 2025 🎟️ https://t.co/jB7qBqyF30 • Find us https://t.co/X4mXn4g3Oo •","bitcoinmagazine.com","https://bitcoinmagazine.com/","37","60","https://t.co/iY43rZ4c0Q","bit.ly/B25-BM10","https://bit.ly/B25-BM10","90","113","https://t.co/jB7qBqyF30","linktr.ee/btcinc","http://linktr.ee/btcinc","124","147","https://t.co/X4mXn4g3Oo","BitcoinMagazine.com","http://BitcoinMagazine.com","0","23","https://t.co/UPj0DCrX32","0","38021","3412642","1112","true","361289499","true","false","false","Nashville, TN","15064","Bitcoin Magazine","1863394283442573699","false","https://pbs.twimg.com/profile_images/1444022922377576453/AzvXYXGr_normal.jpg","","37541","https://twitter.com/BitcoinMagazine","user","https://x.com/BitcoinMagazine","BitcoinMagazine","Business","The #Bitcoin Report by @BitcoinMagPro | October 2024 🔶📈

#BTC fundamentals, technical analysis and favorable regulation have aligned to catalyze bitcoin's price following the 2024 US Presidential election.

Download the full report: https://t.co/a5lensINF0 https://t.co/pBn3Q0lyOo","Fri Nov 08 18:36:31 +0000 2024"
