id,name,gender,status,traits,interest,birth,memory
0,JasmineTurtle,female,student,positive;patient;adventurous,music;study,2003-02,"{'type': '评论', 'content': '有AI预言未来的能力，那还需要占卜师干啥？水晶球要失业了！#AI预言 #科技有趣'}"
1,Arthur Lee,female,Lab Technician,grounded;unmotivated;curious,journaling;sketching freely;diverse literature,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
2,JasmineTur,female,student,positive;patient;adventurous,music;study,2003-02,"{'type': '评论', 'content': '有AI预言未来的能力，那还需要占卜师干啥？水晶球要失业了！#AI预言 #科技有趣'}"
3,Joseph Morrison,male,Web Developer,quiet;understanding;insecure,listening to music;supporting charities;doing intense workouts,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
4,Ophelia Sullivan,female,Journalist,warm;reactive;quiet,counseling;creating mood boards;practicing instruments,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
5,Jasmine Xuan,female,student,positive;patient;adventurous,music;study,2003-02,"{'type': '评论', 'content': '有AI预言未来的能力，那还需要占卜师干啥？水晶球要失业了！#AI预言 #科技有趣'}"
6,Nash Bishop,female,Astronomer,critical;talkative;punctual,writing opinion pieces;hiking;analyzing data,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
7,Eli Shelton,female,Detective,intolerant;unflappable;conventional,reviewing products critically;playing musical instruments;watching documentaries,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
8,Ryder Browning,male,Research Scientist,creative;confident;generous,experimenting;socializing;advocating for others,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
9,Finnian Oliver,male,Nurse,versatile;unmotivated;understanding,visiting museums;daydreaming;advocating for others,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
10,Mariana Lane,male,Crime Scene Technician,indifferent;neurotic;warm,impulse shopping;following mood-boosting routines;spreading kindness,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
11,Anthony Graves,female,Special Education Teacher,outgoing;unreliable;relaxed,attending meetups;party games;hiking,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
12,Liana Hart,male,Physician Assistant,narrow-minded;balanced;careless,watching documentaries;knitting;watching reality shows,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
13,Sienna Norris,female,Financial Manager,cooperative;traditional;negligent,organizing events;reading classic literature;hanging out aimlessly,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
14,Lila Schmidt,female,Advertising Executive,anxious;adventurous;friendly,watching motivational talks;attending workshops;traveling,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
15,Leonard Johnston,male,Business Analyst,apathetic;unassertive;relaxed,gardening heirloom plants;solving puzzles;listening to music,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
16,Poppy Berry,male,Nurse,friendly;reliable;moody,counseling;goal setting;creating mood boards,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
17,Kellan Graves,male,Instructional Designer,negligent;sensitive;compassionate,sketching freely;blogging about feelings;teaching,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
18,Lucy Fisher,male,Air Traffic Controller,curious;warm;confident,virtual reality;organizing events;partying,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
19,Carter Fields,female,Pharmacist,kind;sensitive;disciplined,promoting positivity;journaling emotions;researching,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
20,Audrey Nichols,female,IT Support Specialist,uncooperative;assertive;balanced,studying negotiation techniques;partying;nature walks,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
21,Clara Bishop,male,Radiologic Technologist,outgoing;irresponsible;open-minded,cooking;party games;experimenting,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
22,Felix Johnson,female,SEO Specialist,adventurous;indifferent;irritable,exploring music genres;procrastinating projects;blogging about feelings,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
23,Anthony Gonzalez,female,Chemist,argumentative;reserved;composed,philosophy;drawing;photography,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
24,Ezekiel Garza,male,Dancer,friendly;withdrawn;imaginative,empowering others;drawing;new cuisines,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
25,Anaya May,female,Journalist,confident;irritable;conventional,joining clubs;aromatherapy;gardening heirloom plants,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
26,Avery Wood,female,System Administrator,secure;unconventional;hostile,cooking;experimenting;joining debate clubs,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
27,Zara Graves,female,Educational Administrator,selfish;level-headed;unconventional,building arguments;stargazing;visiting museums,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
28,Nolan Rodriguez,female,Database Administrator,reserved;creative;rude,baking;designing;writing opinion pieces,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
29,Isaac Vaughn,female,Entrepreneur,shy;composed;lazy,journaling;painting;exploring memes,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
30,Anaya Harris,male,Housekeeping Supervisor,rude;unflappable;forgetful,philosophy;nature walks;procrastinating projects,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
31,Elodie Miles,female,Physicist,impulsive;considerate;imaginative,attending support groups;promoting positivity;new cultures,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
32,Eden Moore,female,Nurse,conventional;irresponsible;empathetic,exploring genealogy;visiting amusement parks;counseling,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
33,Ivan Burton,female,Restaurant Manager,energetic;creative;balanced,volunteering;new cultures;knitting,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
34,Natalie Gonzales,female,Cybersecurity Analyst,warm;unmotivated;apathetic,promoting positivity;exploring memes;attending religious gatherings,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
35,Kellan Vasquez,female,Filmmaker,critical;broad-minded;withdrawn,courtroom dramas;debates;knitting,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
36,Abigail Ortiz,male,Business Analyst,hostile;composed;reserved,martial arts;knitting;listening to music,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
37,Rocco Fields,female,Digital Marketing Specialist,disorganized;anxious;considerate,daydreaming;melancholic music;participating in group activities,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
38,Poppy Hoffman,female,Detective,empathetic;reclusive;resilient,encouraging teamwork;drawing;birdwatching,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
39,Tate Andrews,female,Physician,calm;conventional;critical,playing musical instruments;gardening heirloom plants;joining debate clubs,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
40,Matthew Williams,male,Brand Strategist,curious;detail-oriented;resilient,new languages;creating schedules;reading,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
41,Gemma Young,male,Logistics Coordinator,original;volatile;reliable,attending lectures;exploring mindfulness techniques;analyzing data,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
42,Emilia McDonald,female,Criminal Investigator,open-minded;reserved;punctual,writing;birdwatching;completing tasks,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
43,Claire Clark,male,Instructional Designer,cooperative;careless;unassertive,fundraising;impulse shopping;drawing,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
44,Soren Taylor,male,Nurse,volatile;reserved;adventurous,video games;listening to music;new languages,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
45,Sebastian Davidson,male,Business Analyst,creative;confident;balanced,writing;joining clubs;birdwatching,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
46,Pearl Mills,male,Special Education Teacher,adventurous;steady;unconventional,socializing;watching movies;attending art galleries,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
47,Griffin Bates,male,Speechwriter,outgoing;anxious;forgetful,dancing;attending support groups;exploring memes,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
48,Avery Ortiz,female,Environmental Scientist,enthusiastic;responsible;trustworthy,socializing;researching;volunteering,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
49,Zoe Reyes,female,Human Resources Manager,reliable;conventional;secure,time management;learning calligraphy;watching movies,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
50,Victoria Day,male,Forensic Analyst,understanding;taciturn;forgetful,joining social causes;listening to music;trying street food,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
51,Ruby Stevens,male,Cloud Engineer,level-headed;irresponsible;adventurous,journaling;trying random hobbies;going to parties,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
52,Mitchell Gordon,male,Housekeeping Supervisor,impulsive;reclusive;stubborn,aromatherapy;learning languages;joining debate clubs,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
53,Eli Acosta,female,Forensic Analyst,hostile;neurotic;narrow-minded,strategy games;watching motivational talks;crafting with natural materials,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
54,Dahlia Barber,female,Rail Operator,critical;thorough;steady,exploring conspiracy theories;setting priorities;gardening,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
55,Grant Ortiz,male,Physician,disciplined;insecure;imaginative,setting priorities;melancholic music;designing,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
56,Raina Barrett,female,Database Administrator,negligent;outgoing;unpredictable,trying random hobbies;playing team sports;making vision boards,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
57,Felix Garrett,male,Copywriter,disorganized;composed;traditional,trying random hobbies;cooking;crafting with natural materials,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
58,Quentin Hoffman,female,Writer,open-minded;unpredictable;understanding,experimenting;movies;joining social causes,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
59,Sydney Fisher,male,Trade Show Manager,reactive;punctual;unassertive,doing intense workouts;maintaining cleanliness;playing single-player games,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
60,Orion Powell,female,Communications Director,critical;grounded;unimaginative,analyzing political ideologies;swimming;crafting with natural materials,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
61,Dahlia Owens,male,Database Administrator,secure;trustworthy;narrow-minded,journaling;empowering others;joining cultural clubs,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
62,Sage Barrett,male,Market Research Analyst,enthusiastic;broad-minded;reactive,attending meetups;new cuisines;keeping a dream journal,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
63,Thea Fleming,female,Nurse,assertive;steady;trustworthy,hosting events;cooking;joining social causes,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
64,Lacey Hawkins,female,Rail Operator,reflective;secure;hostile,writing;journaling;building arguments,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
65,Henry Wallace,female,Travel Agent,generous;unreliable;friendly,community service;going to arcades;networking,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
66,Joshua Lane,female,Professor,original;selfish;insecure,new cultures;studying negotiation techniques;making vision boards,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
67,Mila Walters,female,Security Consultant,imaginative;solitary;composed,attending workshops;walking alone;running,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
68,Amira Harding,female,Account Executive,rude;narrow-minded;quiet,studying negotiation techniques;visiting historical landmarks;listening to music,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
69,Leonard Lucas,male,Project Manager,cooperative;unimaginative;calm,empowering others;writing letters;swimming,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
70,Eliza Burns,male,Dancer,moody;unreliable;selfish,following mood-boosting routines;exploring social media;martial arts,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
71,Claire Matthews,female,Occupational Therapist,unmotivated;outgoing;stubborn,watching reality shows;attending meetups;researching controversial issues,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
72,Giselle Gray,female,Actor,sociable;traditional;unmotivated,attending concerts;visiting historical landmarks;watching reality shows,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
73,Calliope Day,female,Front Desk Associate,rude;conventional;assertive,martial arts;visiting historical landmarks;partying,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
74,Harrison Welch,male,Shipping Manager,adventurous;forgetful;impulsive,experimenting;exploring social media;journaling emotions,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
75,Elijah Cox,male,Digital Marketing Specialist,reactive;apathetic;inhibited,exploring mindfulness techniques;local history;playing single-player games,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
76,Henry Rodriquez,female,UX/UI Designer,efficient;narrow-minded;unpredictable,studying;crafting with natural materials;blogging about feelings,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
77,Landon Gutierrez,female,Physician Assistant,rigid;organized;sociable,learning family crafts;studying;hosting events,2000-01-01,"{'type': '阅读', 'content': '欢迎来到微博！随时随地，发现新鲜事~'}"
